C1918,BA,F0111
C6111,BA,F0128
C6211,BA,F0128
C7410,BA,F0110
C7470,BA,F0111
C7681,BA,F0128
C7685,BA,F0111
C7689,BA,F0128
C7693,BA,F0128
C8002,BA,F0115
C8030,BA,F0115
C8040,BA,F0120
C8044,BA,F0120
C8056,BA,F0120
C8072,BA,F0115
C8080,BA,F0120
C8082,BA,F0120
C8092,BA,F0120
C8113,BA,F0120
C8131,BA,F0120
C8153,BA,F0120
C8171,BA,F0120
C8187,BA,F0120
C8342,BA,F0128
H1313,BA,F0111
H2215,BA,F0128
H2315,BA,F0128
H2354,BA,F0128
H2404,BA,F0128
H2434,BA,F0128
S0180,BA,F0117
S0185,BA,F0102
S0191,BA,F0102
S0260,BA,F0115
S0268,BA,F0128
S0282,BA,F0102
S0299,BA,F0102
S0387,BA,F0102
S0390,BA,F0102
S0465,BA,F0120
S0470,BA,F0120
S0506,BA,F0120
S0602,BA,FC0003
S0603,BA,FC0003
S0620,BA,FC0003
S0642,BA,F0110
S0643,BA,F0110
S0686,BA,F0110
S0890,BA,F0102
S0895,BA,F0102
S0897,BA,F0102
S0899,BA,F0102
S2002,BA,F0115
S2010,BA,F0140
S2042,BA,F0115
S2082,BA,F0115
S2083,BA,F0115
S2084,BA,F0115
S2230,BA,F0111
S2250,BA,F0111
S2252,BA,F0115
S2330,BA,F0102
S2336,BA,F0102
S2703,BA,F0102
S2704,BA,F0102
S2705,BA,F0102
S2706,BA,F0102
S2707,BA,F0102
S2727,BA,F0102
S2728,BA,F0102
S2732,BA,F0110
S2739,BA,F0102
S2761,BA,FC0003
S2780,BA,F0110
S2784,BA,F0117
S2791,BA,F0102
S2792,BA,F0102
S2800,BA,F0110
S3005,BA,F0125
S3021,BA,F0115
S3041,BA,F0115
S3152,BA,F0128
S3153,BA,F0128
S3154,BA,F0128
S3155,BA,F0128
S3156,BA,F0128
S3157,BA,F0128
S3158,BA,F0128
S3159,BA,F0128
S3356,BA,F0115
S3390,BA,F0102
S4052,BA,F0115
S4054,BA,F0115
S4080,BA,F0117
S4302,BA,F0115
S4602,BA,F0115
S4605,BA,F0115
S5003,BA,F0115
S6505,BA,F0115
S6510,BA,F0115
S6526,BA,F0117
S6537,BA,F0102
S6546,BA,F0117
S7107,BA,F0117
S7128,BA,F0117
S7129,BA,F0117
S7155,BA,F0117
S7177,BA,F0117
S7178,BA,F0117
S7187,BA,F0140
S8032,BA,F0111
S8055,BA,F0117
S8594,BA,FC0004
S8596,BA,FC0003
S8607,BA,FC0010
S8608,BA,FC0010
S8610,BA,FC0011
S8612,BA,FC0012
S8616,BA,FC0011
S8618,BA,FC0008
S8620,BA,FC0001
S8626,BA,FC0009
S8628,BA,FC0004
S8630,BA,FC0004
S8636,BA,FC0013
S8638,BA,FC0006
S8653,BA,FC0004
S9408,BA,F0102
S9420,BA,F0128
S9444,BA,F0128
S9536,BA,F0140
S9556,BA,F0111
C6111,CA,F0128
C6211,CA,F0128
C7410,CA,F0110
C7608,CA,F0128
C7681,CA,F0128
C8002,CA,F0115
C8007,CA,F0102
C8030,CA,F0115
C8040,CA,F0120
C8044,CA,F0120
C8072,CA,F0115
C8080,CA,F0120
C8082,CA,F0120
H1030,CA,F0102
H2215,CA,F0128
Q0021,CA,F0115
Q0095,CA,F0115
Q0160,CA,F0115
Q0235,CA,F0115
Q0260,CA,F0102
Q0520,CA,F0102
Q0600,CA,F0110
S0201,CA,F0102
S0207,CA,F0128
S0258,CA,F0102
S0260,CA,F0115
S0268,CA,F0128
S0282,CA,F0102
S0322,CA,F0102
S0323,CA,F0102
S0330,CA,F0110
S0332,CA,F0102
S0351,CA,F0102
S0465,CA,F0120
S0470,CA,F0120
S0601,CA,F0109
S0602,CA,FC0003
S0620,CA,FC0003
S0630,CA,F0109
S0631,CA,F0109
S0642,CA,F0110
S0656,CA,F0109
S0686,CA,F0110
S0710,CA,F0117
S0890,CA,F0102
S0895,CA,F0102
S2002,CA,F0115
S2010,CA,F0136
S2042,CA,F0115
S2082,CA,F0115
S2083,CA,F0115
S2084,CA,F0115
S2230,CA,F0111
S2232,CA,F0111
S2234,CA,F0111
S2244,CA,F0111
S2250,CA,F0111
S2252,CA,F0115
S2256,CA,F0111
S2330,CA,F0102
