C0419,MPLB roof,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0420,MPLB Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0422,MPLB Stairs / Catwalks,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0423,MPLB Doors / Overhead Doors / Locks,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0424,MPLB Concrete Slab / Pits / Sumps,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0425,MPLB Electrical Room 1 (M),http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0426,MPLB Electrical Room 2 (L),http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0427,MPLB Electrical Room 3 (C ),http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0428,MPLB Electrical Room 4 (S),http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0429,MPLB Electrical Room 5 (T),http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0431,MPLB Offices,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0433,MPLB Plumbing / Sewage,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0435,MPLB Elevator #1,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C0436,MPLB Elevator #2,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Main_Production_Line_Building_DNA.pdf,,Main_Production_Line_Building_DNA.pdf
C9630,Easy Melt Tray Plastic Liner System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Fill_Station_DNA.pdf,,Fill_Station_DNA.pdf
C9650,Easy Melt Fill Metering Pump System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Fill_Station_DNA.pdf,,Fill_Station_DNA.pdf
C9654,Easy Melt Top Plastic Film Liner System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Fill_Station_DNA.pdf,,Fill_Station_DNA.pdf
C9652,Easy Melt Fill Valve System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Fill_Station_DNA.pdf,,Fill_Station_DNA.pdf
C9656,Easy Melt Plastic Film Hot Knife System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Fill_Station_DNA.pdf,,Fill_Station_DNA.pdf
H1111,GSDCS Dust Collector / Frame / Structure System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
H1113,GSDCS Bag Cages / Bag System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
H1115,GSDCS Blower Fan System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
H1117,GSDCS Exhaust Ducting,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
H1119,GSDCS Main Extraction Ducting,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
H1123,GSDCS Bag Blow Down System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
H1127,GSDCS Rotary Airlock System,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Granule_System_Dust_Collection_DNA.pdf,,Granule_System_Dust_Collection_DNA.pdf
S5003,Laminator Machine Frame / Catwalks and Stairs,http://operations.connect.na.local/support/Reliability/IKOCalgary/CalgaryAssetDocuments/Laminator_DNA.pdf,,Laminator_DNA.pdf
