C1098,Maintenance Shop Crane (5 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-04,Overhead_Cranes_and_Hoists.pdf
C1141,Tertiary Crusher Crane (10 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-CRANE-02,Tertiary_Plant_Common_Equipment.pdf
C1142,Tertiary Screen Crane (10 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-CRANE-03,Tertiary_Plant_Common_Equipment.pdf
C1143,"Colour Crane 5 (5 Ton, Pigment)",http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Colour_Plant_Common_Equipment.pdf,A-CRANE-05,Colour_Plant_Common_Equipment.pdf
C1144,Tertiary Jib Crane 1 (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-JIB-01,Tertiary_Plant_Common_Equipment.pdf
C1145,Tertiary Jib Crane 2 (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-JIB-02,Tertiary_Plant_Common_Equipment.pdf
C1146,Machine Shop Jib Crane (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-JIB-03,Overhead_Cranes_and_Hoists.pdf
C1147,Tertiary Jib Crane 3 (2 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-JIB-08,Tertiary_Plant_Common_Equipment.pdf
C1148,MPLB Jib Crane 5 (1/2 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-JIB-09,Overhead_Cranes_and_Hoists.pdf
C1149,MPLB Jib Crane 6 (1/4 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-JIB-10,Overhead_Cranes_and_Hoists.pdf
C1150,Colour Jib Crane 1 (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Colour_Plant_Common_Equipment.pdf,A-JIB-05,Colour_Plant_Common_Equipment.pdf
C1161,Engine Hoist 12 (1/2 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-LFTDVC-12,Overhead_Cranes_and_Hoists.pdf
C1200,Primary Overhead Crane (15 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Primary_Plant_Common_Equipment.pdf,A-CRANE-01,Primary_Plant_Common_Equipment.pdf
C1201,Primary Auxiliary Crane (2 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Primary_Plant_Common_Equipment.pdf,A-CRANE-06,Primary_Plant_Common_Equipment.pdf
C1202,Tertiary Hoist Classifier Crane (2.5 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-CRANE-07,Tertiary_Plant_Common_Equipment.pdf
C1203,2nd Floor Crane (2 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-08,Overhead_Cranes_and_Hoists.pdf
C1204,3rd Floor Crane (2 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-09,Overhead_Cranes_and_Hoists.pdf
C1205,4th Floor Crane (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-10,Overhead_Cranes_and_Hoists.pdf
C1206,Roof Crane (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-11,Overhead_Cranes_and_Hoists.pdf
C1207,Tertiary Hoist Classifier Crane 2 (3 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Tertiary_Plant_Common_Equipment.pdf,A-CRANE-12,Tertiary_Plant_Common_Equipment.pdf
C1208,Pump Room Monorail Crane (1/4 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-13,Overhead_Cranes_and_Hoists.pdf
C1209,Machine Shop Monorail Crane (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Overhead_Cranes_and_Hoists.pdf,A-CRANE-14,Overhead_Cranes_and_Hoists.pdf
C1210,Colour Jib Crane 2 (1/4 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Colour_Plant_Common_Equipment.pdf,A-JIB-06,Colour_Plant_Common_Equipment.pdf
C1211,Colour Jib Crane 3 (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Colour_Plant_Common_Equipment.pdf,A-JIB-07,Colour_Plant_Common_Equipment.pdf
C1212,Colour Jib Crane 4 (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Colour_Plant_Common_Equipment.pdf,A-JIB-04,Colour_Plant_Common_Equipment.pdf
C1213,Colour Jib Crane 5 (1 Ton),http://operations.connect.na.local/support/Reliability/IKOMadoc/PlantAssetDocs/Colour_Plant_Common_Equipment.pdf,A-JIB-15,Colour_Plant_Common_Equipment.pdf
