C0102,Employee Parking Lots,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0103,Lawn,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0105,Truck Driveways/Routes,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0106,Pavement / Concrete Slabs / Concrete Barriers and Walls,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0111,Flux Railcar Unloading System,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Railway_Systems.pdf,,Railway_Systems.pdf,,,,,,,,
C0112,Granule Railcar Unloading System,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Railway_Systems.pdf,,Railway_Systems.pdf,,,,,,,,
C0113,Boxcar Loading Rail System,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Railway_Systems.pdf,,Railway_Systems.pdf,,,,,,,,
C0121,Trees / Shrubs and Grass,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0123,Fences / Gates / Posts and Signs,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0124,Weigh Scale 1 (Inbound),http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0125,Weigh Scale 2 (Outbound),http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0130,Parking/Outdoor Drive Lighting,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0131,Stand Alone Loading Docks,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0133,Storm Water System,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Land.pdf,,Land.pdf,,,,,,,,
C0419,MPLB roof,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0420,MPLB Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0422,MPLB Stairs / Catwalks,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0423,MPLB Doors / Overhead Doors / Locks,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0424,MPLB Concrete Slab / Pits / Sumps,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0425,MPLB Electrical Room 1,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0426,MPLB Electrical Room 2,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0427,MPLB Electrical Room 3,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0428,MPLB Electrical Room 4,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0431,MPLB Offices,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0432,MPLB Main Offices,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0433,MPLB Plumbing / Sewage,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Production_Line_Building.pdf,,Main_Production_Line_Building.pdf,,,,,,,,
C0439,Main Office Building Roof,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Office_Building.pdf,,Main_Office_Building.pdf,,,,,,,,
C0440,Main Office Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOSouthwest/PlantAssetDocs/Main_Office_Building.pdf,,Main_Office_Building.pdf,,,,,,,,
