402,WIRE,STRANDED,50,402WIRE50
402,WIRE,YELLOW,4,402WIRE4
402,WIRE,RED,10,402WIRE10
402,WIRE,BLACK,17,402WIRE17
402,WIRE,W/GROUND,2,402WIRE2
402,WIRE,SJOW,6,402WIRE6
402,WIRE,BLUE,8,402WIRE8
402,WIRE,WHITE,10,402WIRE10
402,WIRE,SOW,11,402WIRE11
402,WIRE,TEW,5,402WIRE5
402,WIRE,BARE,1,402WIRE1
402,WIRE,COPPER,1,402WIRE1
402,WIRE,IGNITION,1,402WIRE1
402,WIRE,COPPER CONDUCTOR,1,402WIRE1
402,WIRE,SPARK,1,402WIRE1
402,WIRE,TFFN,1,402WIRE1
402,WIRE,MTW,4,402WIRE4
402,WIRE,PURPLE,3,402WIRE3
402,WIRE,X LINK,7,402WIRE7
402,WIRE,CABTIRE,12,402WIRE12
402,WIRE,SJOOW,1,402WIRE1
402,WIRE,ORANGE,2,402WIRE2
402,WIRE,HIGH TEMP,2,402WIRE2
402,WIRE,BROWN,2,402WIRE2
402,WIRE,SOOW,2,402WIRE2
402,WIRE,SWITCHBOARD,5,402WIRE5
402,WIRE,SIS,5,402WIRE5
402,WIRE,NICHROME,6,402WIRE6
402,WIRE,GREY,1,402WIRE1
402,WIRE,TIE,1,402WIRE1
402,WIRE,HEAT TRACE CABLE,1,402WIRE1
402,WIRE,BLUE W/ WHITE TRACER,1,402WIRE1
402,WIRE,TGGT,2,402WIRE2
402,WIRE,HI-TEMP,2,402WIRE2
402,WIRE,MUSIC,1,402WIRE1
402,WIRE,THHN,1,402WIRE1
402,WIRE,W/WHITE TRACER,1,402WIRE1
402,WIRE,SEOOW,2,402WIRE2
402,WIRE,STOOW,1,402WIRE1
402,WIRE,FLAT,2,402WIRE2
402,WIRE,SAFETY,1,402WIRE1
402,WIRE,SS,1,402WIRE1
402,CABLE,W/TENSIONER,6,402CABLE6
402,CABLE,AUDIO,2,402CABLE2
402,CABLE,LOW CAPACITANCE,2,402CABLE2
402,CABLE,CTRL,3,402CABLE3
402,CABLE,SUPRENANT TC,1,402CABLE1
402,CABLE,SENSOR,25,402CABLE25
