AIRFLOW,AIRFLOW TECHNICAL PRODUCTS,,COMPSET1
AIRMASTER,AIRMASTER FAN,,COMPSET1
AIRON,AIRON S.R.L.,,COMPSET1
AIRPOT,AIRPOT CORP,,COMPSET1
AIRPOWER,airpower europe GmbH,,COMPSET1
AIRPRO,"AIRPRO (TAIYO AMERICA, INC.)",,COMPSET1
AIRT-PNEU,AIRTEC PNEUMATIC GMBH,,COMPSET1
AIRTAC,AIRTAC,,COMPSET1
AIRTEK,AIRTEK,,COMPSET1
AJC,AJC BATTERY,,COMPSET1
AKINSUN,AKINSUN,,COMPSET1
AKK-TECH,AKKERMANS TECHNIEK OUDENBOSCH B.V.,,COMPSET1
ALBA-PUMP,ALBANY PUMP,,COMPSET1
ALBARRIE,ALBARRIE,,COMPSET1
ALBIN,ALBIN PUMP,,COMPSET1
ALBION,ALBION,,COMPSET1
ALCON,ALCON,,COMPSET1
ALDON,ALDON COMPANY,,COMPSET1
ALECO,ALECO,,COMPSET1
ALECTRONIC,ALECTRONIC SCALE SYSTEMS,,COMPSET1
ALEMITE,ALEMITE,,COMPSET1
ALFA-LAVAL,ALFA LAVAL INC.,,COMPSET1
ALFA-PLAS,ALFA PLASTICS,,COMPSET1
ALGN-MACH,ALGN MACHINE TOOL,,COMPSET1
ALGO,ALGO,,COMPSET1
ALIAXIS,Aliaxis Group SA,,COMPSET1
ALIG-CORP,ALIGN CORP LTD.,,COMPSET1
ALIG-PROD,ALIGN PRODUCTION SYSTEMS,,COMPSET1
ALINABAL,ALINABAL,,COMPSET1
ALITHICON,ALITHICON,,COMPSET1
ALKON,ALKON,,COMPSET1
ALKOTA,ALKOTA,,COMPSET1
ALL-FLO,ALL-FLO,,COMPSET1
ALL-PRIME,ALL PRIME PUMP,,COMPSET1
ALL-PRO,ALL-PRO,,COMPSET1
ALL-TEST,ALL TEST,,COMPSET1
ALLANSON,ALLANSON,,COMPSET1
ALLE-BRAD,ALLEN BRADLEY,,COMPSET1
ALLEGHENY,ALLEGHENY MANUFACTURING/SERVICES,,COMPSET1
ALLEGION,ALLEGION (LCN),,COMPSET1
ALLEGRO,ALLEGRO,,COMPSET1
ALLEN-WEST,ALLEN WEST EAC,,COMPSET1
ALLENAIR,ALLENAIR,,COMPSET1
ALLI-CONS,ALLIED CONSTRUCTION PRODUCTS,,COMPSET1
ALLI-PREC,ALLIED PRECISION,,COMPSET1
ALLIANCE,ALLIANCE,,COMPSET1
ALLIED-CHAIN,ALLIED CHAIN,,COMPSET1
ALLIED-WITAN,ALLIED WITAN,,COMPSET1
ALLIGATOR,ALLIGATOR,,COMPSET1
ALLISON,ALLISON PARK GROUP (APG VISION),,COMPSET1
ALLPAX,ALLPAX,,COMPSET1
ALLWEILER,Allweiler GmbH,,COMPSET1
ALM-CORP,ALM CORPORATION,,COMPSET1
ALMAGARD,ALMAGARD,,COMPSET1
ALMASOL,ALMASOL,,COMPSET1
ALP-LIGHT,"ALP LIGHTING COMPONENTS, INC.",,COMPSET1
ALPH-ASSO,"ALPHA ASSOCIATES, INC.",,COMPSET1
ALPH-TECH,ALPHA TECHNOLOGIES,,COMPSET1
ALPHA-GEAR,ALPHA GEAR DRIVES,,COMPSET1
ALPHA-WIRE,ALPHA WIRE COMPANY,,COMPSET1
ALSGS,"ALSGS FEEDER (QINGDAO) CO., LTD",,COMPSET1
ALT-SYST,Altair Systems,,COMPSET1
ALTECH,ALTECH CORP,,COMPSET1
ALTEK,ALTEK INDUSTRIES CORP,,COMPSET1
ALTRIMEX,Altrimex Packaging Solutions B.V.,,COMPSET1
ALTRONIX,ALTRONIX,,COMPSET1
AM-CAST,AM CAST CANADA INDUSTRIES,,COMPSET1
AMANO,AMANO,,COMPSET1
AMCAN,AMCAN BEARING,,COMPSET1
AMECO,AMECO,,COMPSET1
AMER-AIR,AMERICAN AIR FILTERS (AAF),,COMPSET1
AMER-AUTO,AMERICAN AUTOGARD CORP,,COMPSET1
AMER-BILT,AMERICAN BILTRITE,,COMPSET1
AMER-BRAD,AMERICAN BRADING PRODUCTS,,COMPSET1
AMER-CARB,AMERICAN CARBIDE TOOL COMPANY,,COMPSET1
AMER-COOL,AMERICAN COOLAIR,,COMPSET1
