IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIR6666PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6666PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6666PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6666PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6666PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6666PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6666PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR3746Y1PPMM,0,9038800,260,ITEMSET1
IKO-CAD,GI,GIR3746Y1PPMM,0,9039054,1,ITEMSET1
IKO-CAD,GI,GIR3746Y1PPMM,0,9045590,1,ITEMSET1
IKO-CAD,GI,GIR3746Y1PPMM,0,9070330,1,ITEMSET1
IKO-CAD,GI,GIR3746Y1PPMM,0,9095972,1,ITEMSET1
IKO-CAD,GI,GIR3646Y1PPMM,0,9038800,260,ITEMSET1
IKO-CAD,GI,GIR3646Y1PPMM,0,9039054,1,ITEMSET1
IKO-CAD,GI,GIR3646Y1PPMM,0,9045590,1,ITEMSET1
IKO-CAD,GI,GIR3646Y1PPMM,0,9070330,1,ITEMSET1
IKO-CAD,GI,GIR3646Y1PPMM,0,9095972,1,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9038800,260,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9039054,1,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9045590,1,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9070330,1,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9062570,1,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9062571,1,ITEMSET1
IKO-CAD,GI,GIR3446Y1PPMM,0,9095972,1,ITEMSET1
IKO-CAD,GI,GIR6925PEMM,0,9100442,1,ITEMSET1
