FC0093,"Lug Conveyor, Belt, Shingle Bundle, Lug System"
FC0094,"Lug Conveyor, Chain, Shingle Bundle, Lug System"
FC0095,"Lug Conveyor, Chain, Shingle Bundle, Palletizer"
FC0096,"Mandrel, Fiberglass Sheet, DMA"
FC0097,"Marriage Roll, Slitted Laminated Sheet, CTL"
FC0098,"Measuring Roll, FPL Sheet, Laminate Section"
FC0099,"Measuring Roll, Sealed Sheet, 3 Tab Section"
FC0100,"Measuring Roll, Slitted Laminated Sheet, CTL"
FC0101,"Metering Roll, Coated Sheet, Coater"
FC0102,"Mixing Tank, Paint, Laminate Section"
FC0103,"Mixing Tank, Soap Water, Laminate Section"
FC0104,"Oscillator, Granule, Granule Application"
FC0105,"Pallet Dispenser, Pallet, Palletizer"
FC0106,"Press Roll, Granuled Sheet, Cooling Section"
FC0107,"Printer, Printed Film, Wrapper"
FC0108,"Puddle Bar, Coated Sheet, Coater"
FC0109,"Pull Roll, FPL Sheet, Carry-over Systems"
FC0110,"Pull Roll, FPL Sheet, FPL"
FC0111,"Pull Roll, Sealed Laminated Sheet, Laminate Section"
FC0112,"Pull Roll, Sealed Sheet, Carry-over Systems"
FC0113,"Pull Roll, Spliced Sheet, DMA"
FC0114,"Pump, Soap Water, 3 Tab Section"
FC0115,"Return Piping, Asphalt, Coater"
FC0116,"Roll Enclosure, Granuled Sheet, Cooling Section"
FC0117,"Roll, Cooled Sheet, Cooling Section"
FC0118,"Roll, Film, Wrapper"
FC0119,"Roll, FPL Sheet, Carry-over Systems"
FC0120,"Roll, Granuled Sheet, Cooling Section"
FC0121,"Roll, Pattern Laminated Sheet, Laminate Section"
FC0122,"Roll, Spliced Sheet, Coater"
FC0123,"Roll, Spliced Sheet, DMA"
FC0124,"Scissor Lift, Shingle Bundle, Palletizer"
FC0125,"Scrap Diverter, 3TAB Shingle, 3 Tab Section"
FC0126,"Scrap Diverter, Laminated Shingle, CTL"
FC0127,"Scrap Diverter, Slitted Laminated Sheet, CTL"
FC0128,"Scraper, Coated Sheet, Coater"
FC0129,"Screw Conveyor, Granule Blend, Reclaim System"
FC0130,"Screw, Asphalt, Coater"
FC0131,"Sealant Applicator, Sealed Laminated Sheet, Laminate Section"
FC0132,"Separator, Granule Blend, Reclaim System"
