C0501,Hot Oil Building Roof,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Tank_Farm_Boiler_Room.pdf,,Buildings_Tank_Farm_Boiler_Room.pdf
C0501,Hot Oil Building Roof,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building_Assets.pdf,,Hot_Oil_Building_Assets.pdf
C0502,Hot Oil Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Tank_Farm_Boiler_Room.pdf,,Buildings_Tank_Farm_Boiler_Room.pdf
C0502,Hot Oil Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building_Assets.pdf,,Hot_Oil_Building_Assets.pdf
C0503,Hot Oil Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building_Assets.pdf,,Hot_Oil_Building_Assets.pdf
C0504,Hot Oil Building Doors/Locks/Security,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Hot_Oil_Building_Assets.pdf,,Hot_Oil_Building_Assets.pdf
C0531,Oxidizer/Control Building Roof,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Tank_Farm_Boiler_Room.pdf,,Buildings_Tank_Farm_Boiler_Room.pdf
C0532,Oxidizer/Control Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Tank_Farm_Boiler_Room.pdf,,Buildings_Tank_Farm_Boiler_Room.pdf
C0533,Oxidizer/Control Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Tank_Farm_Boiler_Room.pdf,,Buildings_Tank_Farm_Boiler_Room.pdf
C0641,Finished Product Warehouse #1 Racking (North),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0641,Finished Product Warehouse #1 Racking (North),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C0651,Finished Product Warehouse #2 Racking (South),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0651,Finished Product Warehouse #2 Racking (South),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C0662,Fiberglass Warehouse Racking,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0662,Fiberglass Warehouse Racking,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C0665,Fiberglass Warehouse Doors/Docks,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C0682,Vertical Parts Storage Unit 1 (KARDEX South Side),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0682,Vertical Parts Storage Unit 1 (KARDEX South Side),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C0683,Vertical Parts Storage Unit 2 (KARDEX East Side),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0683,Vertical Parts Storage Unit 2 (KARDEX East Side),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C0961,Propane Storage Cage #1,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0961,Propane Storage Cage #1,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Building_Systems_Assets.pdf,,Building_Systems_Assets.pdf
C1053,"DMA Door Hoist (Electric, DC-Pro 5-500 v. .94109977, 500kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1053,"DMA Door Hoist (Electric, DC-Pro 5-500 v. .94109977, 500kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/DMA.pdf,,DMA.pdf
C1054,"DMA Door Hoist (Electric, DC-Pro 5-500 v. .94109978, 500kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1054,"DMA Door Hoist (Electric, DC-Pro 5-500 v. .94109978, 500kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/DMA.pdf,,DMA.pdf
C1058,"Wrapper Hoist (Electric Chain, ST 1005-8 2/1, 1000 kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1059,3 Tab Cutter Overhead Crane (3200Kgs),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1060,Laminator Overhead Crane (3200Kgs),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1098,Maintenance Shop Overhead Crane (2000Kgs),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
C1100,"Maintenance Shop Hoist (Electric, DC-Pro 2-200 v. .94210878, 200kg)",http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Overhead_Cranes_Hoists_Assets.pdf,,Overhead_Cranes_Hoists_Assets.pdf
