C0443,Main Office Building Doors/Locks/Security,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Main_Office_Building.pdf,,Main_Office_Building.pdf,,,,,
C0444,Main Office Building Plumbing / Sewage,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Main_Office_Building.pdf,,Main_Office_Building.pdf,,,,,
C0467,Production/Warehouse Building Roof,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Production_Warehouse_Building.pdf,,Production_Warehouse_Building.pdf,,,,,
C0468,Production/Warehouse Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Production_Warehouse_Building.pdf,,Production_Warehouse_Building.pdf,,,,,
C0469,Production/Warehouse Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Production_Warehouse_Building.pdf,,Production_Warehouse_Building.pdf,,,,,
C0470,Production/Warehouse Building Stairs/Catwalks,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Production_Warehouse_Building.pdf,,Production_Warehouse_Building.pdf,,,,,
C0471,Production/Warehouse Building Doors/Locks/Security,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Production_Warehouse_Building.pdf,,Production_Warehouse_Building.pdf,,,,,
C0472,Production/Warehouse Building Roof Plumbing/Sewage,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Production_Warehouse_Building.pdf,,Production_Warehouse_Building.pdf,,,,,
C0501,Hot Oil Building Roof,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf,,,,,
C0502,Hot Oil Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf,,,,,
C0503,Hot Oil Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf,,,,,
C0504,Hot Oil Building Doors / Locks / Security,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf,,,,,
C0505,Hot Oil Building Plumbing / Sewage,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_Building.pdf,,Hot_Oil_Building.pdf,,,,,
C0531,Oxidizer/Control Building Roof,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Oxidizer_Control_Building.pdf,,Oxidizer_Control_Building.pdf,,,,,
C0532,Oxidizer/Control Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Oxidizer_Control_Building.pdf,,Oxidizer_Control_Building.pdf,,,,,
C0533,Oxidizer/Control Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Oxidizer_Control_Building.pdf,,Oxidizer_Control_Building.pdf,,,,,
C0543,Steam Boiler Building Roof,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_Boiler_Building.pdf,,Steam_Boiler_Building.pdf,,,,,
C0544,Steam Boiler Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_Boiler_Building.pdf,,Steam_Boiler_Building.pdf,,,,,
C0545,Steam Boiler Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_Boiler_Building.pdf,,Steam_Boiler_Building.pdf,,,,,
C0546,Steam Boiler Building Doors / Locks / Security,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_Boiler_Building.pdf,,Steam_Boiler_Building.pdf,,,,,
C0568,Ferrous Chloride Building Structure,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Ferrous_Chloride_Building.pdf,,Ferrous_Chloride_Building.pdf,,,,,
C0569,Ferrous Chloride Building Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Ferrous_Chloride_Building.pdf,,Ferrous_Chloride_Building.pdf,,,,,
C0570,Ferrous Chloride Building HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Ferrous_Chloride_Building.pdf,,Ferrous_Chloride_Building.pdf,,,,,
C0571,Ferrous Chloride Building Doors/Locks/Security,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Ferrous_Chloride_Building.pdf,,Ferrous_Chloride_Building.pdf,,,,,
C0617,Building System Fans,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Building_Systems.pdf,,Building_Systems.pdf,,,,,
C0640,Finished Product Warehouse Plumbing/Sewage,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Finished_Product_Warehouse.pdf,,Finished_Product_Warehouse.pdf,,,,,
C0641,Finished Product Warehouse Racking,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Finished_Product_Warehouse.pdf,,Finished_Product_Warehouse.pdf,,,,,
C0642,Finished Product Warehouse Roof,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Finished_Product_Warehouse.pdf,,Finished_Product_Warehouse.pdf,,,,,
C0643,Finished Product Warehouse Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Finished_Product_Warehouse.pdf,,Finished_Product_Warehouse.pdf,,,,,
C0644,Finished Product Warehouse Doors/Docks,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Finished_Product_Warehouse.pdf,,Finished_Product_Warehouse.pdf,,,,,
C0662,Fiberglass Warehouse Racking,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Fiberglass_Warehouse.pdf,,Fiberglass_Warehouse.pdf,,,,,
C0663,Fiberglass Warehouse Roof,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Fiberglass_Warehouse.pdf,,Fiberglass_Warehouse.pdf,,,,,
C0664,Fiberglass Warehouse Electrical/Lighting,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Fiberglass_Warehouse.pdf,,Fiberglass_Warehouse.pdf,,,,,
C0665,Fiberglass Warehouse Doors/Docks,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Fiberglass_Warehouse.pdf,,Fiberglass_Warehouse.pdf,,,,,
C0666,Fiberglass Warehouse HVAC/Heating,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Fiberglass_Warehouse.pdf,,Fiberglass_Warehouse.pdf,,,,,
C0680,Storeroom,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Warehousing_Systems.pdf,,Warehousing_Systems.pdf,,,,,
C0852,Make Up Air Unit Systems (MUA),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Building_Systems.pdf,,Building_Systems.pdf,,,,,
